index,type,name,resident,streamed,parentStack
1,string,,76930,0,||assetlist
2,xmodelmesh,p7_bag_cement_stacked_02_lod5323ccf5a,232,7072,|p7_bag_cement_stacked_02_blue|xmodel|maps/zm/zm_area51_survival.d3dbsp|gfx_map|zone_source/zm_area51_survival.zone|csv
3,xmodelmesh,p7_ban_barbed_wire_lod728b0eac,3152,0,|p7_ban_barbed_wire|xmodel|maps/zm/zm_area51_survival.d3dbsp|gfx_map|zone_source/zm_area51_survival.zone|csv
4,xmodelmesh,p7_bottle_plastic_2litre_crushed_lod04209fc6f,1104,0,|p7_bottle_plastic_2litre_crushed_green|xmodel|maps/zm/zm_area51_survival.d3dbsp|gfx_map|zone_source/zm_area51_survival.zone|csv
5,xmodelmesh,p7_bottle_plastic_cleaner_lod0b9281d9c,1120,0,|p7_bottle_plastic_cleaner_dmg|xmodel|maps/zm/zm_area51_survival.d3dbsp|gfx_map|zone_source/zm_area51_survival.zone|csv
6,xmodelmesh,p7_bottles_plastic_shampoo02_dmg_lod036cfddf9,1232,0,|p7_bottle_plastic_shampoo02_dmg|xmodel|maps/zm/zm_area51_survival.d3dbsp|gfx_map|zone_source/zm_area51_survival.zone|csv
7,xmodelmesh,p7_cigarette_pack_lod0cc2f643e,1280,0,|p7_cigarette_pack|xmodel|maps/zm/zm_area51_survival.d3dbsp|gfx_map|zone_source/zm_area51_survival.zone|csv
8,xmodelmesh,p7_crate_wood_01_open_med_lod783ec9326,1536,0,|p7_crate_wood_01_open_med|xmodel|maps/zm/zm_area51_survival.d3dbsp|gfx_map|zone_source/zm_area51_survival.zone|csv
9,xmodelmesh,p7_debris_clothing_pants_02_lod07bb91eca,1264,0,|p7_debris_clothing_pants_02|xmodel|maps/zm/zm_area51_survival.d3dbsp|gfx_map|zone_source/zm_area51_survival.zone|csv
10,xmodelmesh,p7_debris_concrete_rubble_lg_01_no_metal_flat_edge_01_lod0f189f952,1328,0,|p7_debris_concrete_rubble_lg_01_no_metal_flat_edge_01|xmodel|maps/zm/zm_area51_survival.d3dbsp|gfx_map|zone_source/zm_area51_survival.zone|csv
11,xmodelmesh,p7_debris_concrete_rubble_lg_01_no_metal_flat_edge_02_lod0f20aee05,1296,0,|p7_debris_concrete_rubble_lg_01_no_metal_flat_edge_02|xmodel|maps/zm/zm_area51_survival.d3dbsp|gfx_map|zone_source/zm_area51_survival.zone|csv
