xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p7_vld_vent_fan_01_cover_gray,42.84,300,115.89,19.91,119.34,275355.25,4
c_zm_dlchd_cosmo_cosmon_s_llegoff,1.63,271,16.54,13.48,7.49,1669.66,1
c_zm_dlchd_cosmo_spetznaz_zombie_s_llegoff,1.71,270,16.54,13.48,7.49,1669.66,1
c_zm_dlchd_cosmo_cosmon_s_larmoff,2.12,197,18.39,8.86,7.50,1221.67,1
c_zm_dlchd_cosmo_spetznaz_zombie_s_rlegoff,2.75,158,16.54,13.48,7.49,1669.66,1
c_zm_dlchd_cosmo_cosmon_s_rlegoff,2.68,157,16.54,13.48,7.49,1669.66,1
p7_bottle_glass_vodka_broken_01,0.24,152,3.12,5.06,3.09,48.77,5
p7_light_fixture_led_utility,0.70,151,4.96,4.30,9.36,199.51,3
p7_pipe_metal_hp_12_t_joint_blue,26.09,124,32.00,18.00,25.00,14400.00,7
p7_suspension_bridge_ibeam_l_bracket_02_rusty,2.71,112,4.50,10.66,6.00,287.74,81
c_zm_dlchd_cosmo_spetznaz_zombie_s_larmoff,0.86,104,11.99,4.73,5.12,290.43,1
c_zm_dlchd_cosmo_cosmon_s_rarmoff,0.86,104,11.99,4.73,5.12,290.43,1
c_zm_dlchd_cosmo_spetznaz_zombie_s_rarmoff,0.86,104,11.99,4.73,5.12,290.43,1
p7_bottle_milk_broken_top,0.35,100,2.84,2.84,5.43,43.88,17
p7_debris_clothing_pants_02,6.30,96,36.21,20.14,6.35,4628.44,5
p7_bottle_milk_broken_btm,0.43,92,2.84,2.84,2.53,20.36,17
p7_water_filtration_system_mount_hook,0.21,92,2.00,2.36,2.01,9.49,9
p7_pipe_metal_hp_12_elbow_90_grey_dk,21.89,88,25.00,18.00,25.00,11250.00,6
p7_pipe_metal_hp_12_elbow_90_white,21.89,88,25.00,18.00,25.00,11250.00,11
p7_pipe_metal_hp_12_elbow_90_red,21.89,88,25.00,18.00,25.00,11250.00,4
p7_pipe_metal_hp_12_elbow_90_blue,21.89,88,25.00,18.00,25.00,11250.00,29
p7_pipe_metal_hp_12_straight_64_white,40.97,80,18.00,18.00,64.00,20736.00,4
p7_sin_bollard_tall_painted,9.62,80,8.10,8.10,39.18,2571.75,50
p7_pipe_metal_hp_12_straight_32_red,27.25,80,18.00,18.00,32.00,10368.00,2
p7_pipe_metal_hp_12_straight_64_red,40.97,80,18.00,18.00,64.00,20736.00,2
p7_pipe_metal_hp_12_straight_64_grey_dk,40.97,80,18.00,18.00,64.00,20736.00,4
p7_pipe_metal_hp_12_straight_64_blue,40.97,80,18.00,18.00,64.00,20736.00,9
p7_pipe_metal_hp_12_straight_32_white,27.25,80,18.00,18.00,32.00,10368.00,3
