index,type,name,resident,streamed,parentStack
1,string,,81940,0,||assetlist
2,xmodelmesh,p7_crate_wood_01_short_lod29dcaf9c0,1320,0,|p7_crate_wood_01_short|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
3,xmodelmesh,p7_sandbag_stack_44_middle_lod42e484f85,1776,0,|p7_sandbag_stack_44_middle|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
4,xmodelmesh,p7_sandbag_01_lod427c01ec1,912,0,|p7_sandbag_01|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
5,xmodelmesh,p7_zm_mob_lamp_tinhat_on_lod73c625fee,1312,0,|p7_zm_mob_lamp_tinhat_on|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
6,xmodelmesh,p7_zm_mob_lamp_tinhat_off_lod73c625fee,1376,0,|p7_zm_mob_lamp_tinhat_off|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
7,xmodelmesh,p7_foliage_grass_tall_cluster_lrg_lod09a5fd265,1312,0,|p7_foliage_grass_tall_cluster_lrg|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
8,xmodelmesh,p7_tire_rubber_worn_lod0f220fa2a,2848,0,|p7_tire_rubber_worn|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
9,xmodelmesh,p7_sandbag_stack_44_end_lod265a2e1b7,352,5472,|p7_sandbag_stack_44_end|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
10,xmodelmesh,p7_lamp_old_wall_pan_01_lod0427c671c,576,14640,|p7_lamp_old_wall_pan_01|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
11,xmodelmesh,p7_zm_nac_foliage_palm_pacific_snapped_01_lod78594e8fd,1488,0,|p7_zm_nac_foliage_palm_pacific_snapped_01|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
12,xmodelmesh,p7_zm_asc_barrel_metal_dmg_lod737297fc4,4176,0,|p7_zm_asc_barrel_metal_dmg|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
13,xmodelmesh,p7_ram_foliage_grass_tall_wild_lod7f7c222fd,1488,0,|p7_ram_foliage_grass_tall_wild|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
14,xmodelmesh,p7_barrel_keg_beer_metal_lod7f330f6ac,3824,0,|p7_barrel_keg_beer_metal_rusty|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
15,xmodelmesh,p7_eth_rock_large_02_lod0bd0d71c7,1280,0,|p7_eth_rock_large_02|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
16,xmodelmesh,p7_eth_rock_large_03_lod033097057,1648,0,|p7_eth_rock_large_03_prologue|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
17,xmodelmesh,veh_t7_dlc_b17_bomber_piece_nose_lod79723c784,1584,18720,|veh_t7_dlc_b17_bomber_piece_nose|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
18,xmodelmesh,p7_zm_nac_cabinet_wood_vintage_lod75b3ba16b,464,14736,|p7_zm_nac_cabinet_wood_vintage|xmodel|maps/zm/zm_green_run_nacht.d3dbsp|gfx_map|zone_source/zm_green_run_nacht.zone|csv
