xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
nacht_wall_border_waw,22.87,1421,16.00,206.00,128.00,421888.41,2
wm_jetgun_part_4,0.96,1252,25.18,24.99,7.43,4676.79,1
wm_jetgun_part_1,4.84,1250,59.98,24.69,20.52,30389.21,1
p_glo_tools_chest_short,2.95,904,29.76,18.11,11.48,6188.86,2
p_rus_desklamp_wmd_on,0.30,871,5.60,16.75,21.12,1978.66,2
p7_sin_rock_park_01_wall_a,1.46,612,35.95,6.48,10.24,2385.91,6
p7_zm_dlchd_pro_honorguard_zombie_s_rarm,0.43,453,16.74,4.61,5.16,398.68,1
p7_zm_dlchd_pro_honorguard_zombie_s_larm,0.43,453,16.74,4.61,5.16,398.68,1
nacht_wall_01,4.48,420,4.75,42.69,37.74,7658.50,1
nacht_wall_02,2.15,342,4.64,25.99,23.18,2798.44,1
nacht_wall_05,3.80,342,4.61,38.67,28.43,5069.65,1
nacht_wall_06,4.17,342,4.73,35.11,32.98,5477.15,1
wm_jetgun_part_2,0.68,338,9.26,11.31,5.44,570.30,1
nacht_wall_04,5.18,333,4.83,39.74,39.66,7604.47,1
p7_lamp_old_wall_pan_01_on,5.00,322,32.88,24.20,18.89,15034.98,4
p7_lamp_old_wall_pan_01,5.00,322,32.88,24.20,18.89,15034.98,8
nacht_wall_03,3.43,298,4.65,22.06,32.08,3293.90,1
wm_jetgun_part_3,0.62,270,10.57,10.07,3.80,404.31,1
p7_zm_dlchd_pro_honorguard_zombie_s_rleg,2.86,158,16.54,13.48,7.49,1669.66,1
p7_zm_dlchd_pro_honorguard_zombie_s_lleg,2.71,157,16.54,13.48,7.49,1669.66,1
p7_barrel_keg_beer_metal_rusty,30.68,92,22.35,22.35,31.96,15969.68,6
p7_sin_rock_park_01_large_a_grey,5.41,58,16.22,9.12,9.65,1427.70,48
p7_boulder_rock_05,7.71,56,19.50,11.69,6.61,1507.19,323
p7_fxp_debris_wood_splinter_03,0.39,52,1.00,6.09,1.13,6.85,1
p7_zm_zod_bubblegum_machine_gumball_blue,0.07,48,1.01,1.00,1.02,1.03,1
p7_tire_rubber_worn,24.70,48,6.44,25.21,25.21,4092.59,8
p7_fxp_debris_wood_splinter_02,0.15,48,0.78,3.73,0.88,2.55,1
p7_zm_der_pswitch_handle,8.56,44,18.42,4.44,25.20,2060.67,1
p7_fxp_debris_dirt_clod_01_brown,0.43,28,2.59,1.59,1.72,7.13,1
p7_zm_der_magic_box_fake,28.14,20,12.97,10.80,14.06,1970.22,1
p7_gib_chunk_bone_03,1.07,16,2.66,4.52,3.11,37.40,1
p7_gib_chunk_bone_02,0.91,16,2.83,3.32,2.05,19.34,1
p7_gib_chunk_bone_01,0.66,16,1.93,2.13,4.84,19.91,1
p7_gib_chunk_flesh_02,1.75,16,1.42,5.32,4.56,34.36,1
p7_gib_chunk_flesh_01,2.48,16,4.98,1.51,5.99,45.20,1
p7_gib_chunk_flesh_03,1.63,16,3.89,1.82,4.60,32.62,1
p7_gib_chunk_meat_02,3.93,16,4.00,7.68,5.48,168.48,1
p7_gib_chunk_meat_01,4.31,16,2.61,7.35,8.75,167.67,1
p7_fxp_debris_wood_splinter_01,0.21,16,0.95,1.67,0.29,0.45,1
p7_fxp_debris_rock_01,0.75,16,2.59,1.59,1.72,7.13,1
p7_fxp_debris_rock_02,1.01,16,3.34,1.90,2.12,13.47,1
p7_fxp_debris_car_glass_shatter_01,0.06,16,0.63,0.74,0.41,0.19,1
p7_fxp_debris_car_glass_shatter_02,0.07,16,0.60,0.79,0.42,0.20,1
p7_fxp_debris_rock_03,2.50,16,4.58,4.01,1.96,36.05,1
p7_gib_chunk_meat_03,4.97,15,3.14,6.78,7.21,153.74,1
p7_fxp_debris_car_glass_shatter_03,0.07,12,0.59,0.61,0.26,0.09,1
wpn_t7_none_view,0.10,6,1.00,0.26,0.26,0.07,1
wpn_t7_none_world,0.10,6,1.00,0.26,0.26,0.07,1
