index,type,name,resident,streamed,parentStack
1,string,,106439,0,||assetlist
2,xmodelmesh,p7_barbed_wire_b_flat_lod0d74fed18,1176,0,|p7_barbed_wire_b_flat|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
3,xmodelmesh,p7_sandbag_stack_32_middle_lod2b054c4b3,352,7312,|p7_sandbag_stack_32_middle|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
4,xmodelmesh,p7_sandbag_stack_32_right_vista_lod03c9d5ea8,1424,0,|p7_sandbag_stack_32_right_vista|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
5,xmodelmesh,p7_crate_wood_01_lod263d6e227,1312,0,|p7_crate_wood_01_dark|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
6,xmodelmesh,p7_scaff_wood_med_set_lod0d3a1f431,1568,0,|p7_scaff_wood_med_set|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
7,xmodelmesh,p7_scaff_plywood_walkway_36x192_lod05687c7a8,1408,0,|p7_scaff_plywood_walkway_36x192|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
8,xmodelmesh,p7_crate_bomb_bomb_lod0a56a2037,1248,0,|p7_crate_bomb_bomb|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
9,xmodelmesh,p7_barrel_keg_beer_metal_small_lod7979d64a0,3984,0,|p7_barrel_keg_beer_metal_small_rusty|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
10,xmodelmesh,p7_cai_table_vendor_wood_case_lod478c0f93d,1584,0,|p7_cai_table_vendor_wood_case|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
11,xmodelmesh,p7_tools_hammer_lod22a8581ee,896,0,|p7_tools_hammer|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
12,xmodelmesh,p7_tools_nail_lod41e24d06,960,0,|p7_tools_nail|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
13,xmodelmesh,p7_chair_stool_02_lod569321249,1344,0,|p7_chair_stool_02_worn|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
14,xmodelmesh,p7_sandbag_stack_32_left_lod2c19f5db7,352,5504,|p7_sandbag_short_left|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
15,xmodelmesh,p7_sin_rock_park_01_cluster_a_lod03220ae97,1504,0,|p7_cai_hav_rock_park_01_cluster_e|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
16,xmodelmesh,p7_eth_rock_cluster_03_lod0ad6613a3,1536,0,|p7_eth_rock_cluster_03|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
17,xmodelmesh,p7_eth_foliage_grass_large_lod48e9e5a81,240,6192,|p7_eth_foliage_grass_large|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
18,xmodelmesh,p7_eth_foliage_grass_xlarge_lod4499d0cad,240,24000,|p7_eth_foliage_grass_xlarge|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
19,xmodelmesh,p7_foliage_grass_02_small_lod087e1e06e,1584,0,|p7_foliage_grass_02_small_vibrant|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
20,xmodelmesh,p7_eth_foliage_grass_line_01_lod021f34b6c,1344,0,|p7_eth_foliage_grass_line_01|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
21,xmodelmesh,p7_medical_bag_supply_lod0780b7823,1248,0,|p7_medical_bag_supply_dirty|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
22,xmodelmesh,p7_hand_truck_vertical_lod5b58eacd3,2640,0,|p7_hand_truck_vertical_dirty|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
23,xmodelmesh,p7_medical_case_02_lid_lod066cd7b17,1328,0,|p7_medical_case_02_lid_dirty|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
24,xmodelmesh,p7_medical_case_02_handle_lod1d75e254d,1040,0,|p7_medical_case_02_handle|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
25,xmodelmesh,p7_medical_case_02_base_lod14979d361,1712,0,|p7_medical_case_02_dirty|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
26,xmodelmesh,p7_eth_foliage_grass_small_bent_lod0f1df1fd3,1408,0,|p7_eth_foliage_grass_small_wild_bent|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
27,xmodelmesh,p7_eth_foliage_grass_tall_lod23a8fc380,1536,0,|p7_eth_foliage_grass_tall_wild|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
28,xmodelmesh,p7_crate_wood_01_short_lod29dcaf9c0,1488,0,|p7_crate_wood_01_short|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
29,xmodelmesh,p7_rebar_column_128_lod160788032,3904,0,|p7_rebar_column_128|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
30,xmodelmesh,p7_rebar_straight_32_01_lod132a8e4be,1520,0,|p7_rebar_straight_32_01|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
31,xmodelmesh,p7_window_square_64_lod047fc5ac9,1456,0,|p7_window_square_64|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
32,xmodelmesh,p7_door_frame_metal_shop_01_lt_lod0f2431977,1488,0,|p7_doorframe_metal_shop_01_lt_black|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
33,xmodelmesh,p7_zm_der_stair_step_8x10x88_lod06451da16,1584,0,|p7_zm_der_stair_step_8x10x88|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
34,xmodelmesh,p7_cai_sign_billboard_01_kit_beam_sml_lod0bbb374c3,1424,0,|p7_cai_sign_billboard_01_kit_beam_sml|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
35,xmodelmesh,p7_cai_sign_billboard_01_kit_beam_vert_lod0449315d,1216,0,|p7_cai_sign_billboard_01_kit_beam_vert|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
36,xmodelmesh,p7_box_copy_paper_ream_01_lod1a5da3be0,1136,0,|p7_box_copy_paper_ream_01|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
37,xmodelmesh,p7_table_rectangle_wood_02_lod6d5d8906d,4560,0,|p7_table_rectangle_wood_02|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
38,xmodelmesh,p7_coffee_grinder_01_beans_lrg_lod479c94b24,1744,0,|p7_coffee_grinder_01_beans_lrg|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
39,xmodelmesh,p7_coffee_grinder_01_beans_sml_lod4fc7ac8c,944,0,|p7_coffee_grinder_01_beans_sml|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
40,xmodelmesh,p7_debris_trash_cup_coffee_02_lod0dcb8f37,1120,0,|p7_debris_trash_cup_coffee_02|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
41,xmodelmesh,p7_box_cardboard_d_open01_lod4d624f53b,1344,0,|p7_box_cardboard_d_open01|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
42,xmodelmesh,p7_sin_boxes_chinese_medicin_pile_01_lod0b4d3e83a,1392,0,|p7_lt_boxes_medicin_pile_03|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
43,xmodelmesh,p7_coffee_table_round_wood_01_worn_lod569ff106,2448,0,|p7_coffee_table_round_wood_01_worn|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
44,xmodelmesh,p7_light_hurricane_lamp_lod13fd08fc4,352,15408,|p7_light_hurricane_lamp|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
45,xmodelmesh,p7_zm_der_light_spot_base_plate_lod0d6b2a7a9,1392,0,|p7_zm_der_light_spot_base_plate|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
46,xmodelmesh,p7_zm_der_light_bulb_small_lod051d2f25a,1104,0,|p7_zm_der_light_bulb_small|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
47,xmodelmesh,p7_zm_der_light_cage_01_lod491aebb05,2624,0,|p7_zm_der_light_cage_01|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
48,xmodelmesh,p7_zm_der_light_shade_lod0e2cd8a47,1264,0,|p7_zur_nw_clamp_lamp_factory_hanging|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
49,xmodelmesh,p7_lamp_old_wall_pan_01_lod0427c671c,576,14688,|p7_lamp_old_wall_pan_01_on|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
50,xmodelmesh,p7_barrel_vintage_wood_cloth_lod55e3faafa,928,0,|p7_barrel_vintage_wood_cloth|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
51,xmodelmesh,p7_sandbag_01_lod427c01ec1,880,0,|p7_sandbag_01|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
52,xmodelmesh,veh_t7_zmb_1931_pickup_headlights_lod084c539e0,2560,0,|veh_t7_zmb_1931_truck_pickup_headlights|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
53,xmodelmesh,veh_t7_zmb_1931_pickup_wheel_lod0ac666d19,1856,0,|veh_t7_zmb_1931_truck_pickup_wheel_red|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
54,xmodelmesh,veh_t7_zmb_1931_pickup_lod0c4286efa,1376,24160,|veh_t7_zmb_1931_truck_pickup_red|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
55,xmodelmesh,p7_zm_vending_jugg_lod05ba57edf,672,8496,|p7_zm_vending_jugg|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
56,xmodelmesh,p7_pallet_truck_lod5abdb747c,3376,0,|p7_pallet_truck_dirty|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
57,xmodelmesh,p7_box_cardboard_a_closed_lod2f72ee8d1,1408,0,|p7_box_cardboard_a_closed|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
58,xmodelmesh,p7_box_cardboard_b_closed_lod27d5ea3be,1216,0,|p7_box_cardboard_b_closed|xmodel|maps/zm/zm_nacht_remastered.d3dbsp|gfx_map|zone_source/zm_nacht_remastered.zone|csv
