xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p7_zm_vending_phd_active,1.74,7481,28.77,23.53,91.86,62194.44,1
p7_zm_vending_phd,1.74,7481,28.77,23.53,91.86,62194.44,1
gear_flametank,0.56,4318,27.92,14.00,21.79,8518.46,1
viewmodel_usa_flamethrower,0.08,3796,34.04,13.03,10.47,4643.98,1
viewmodel_usa_flamethrower_up,0.08,3796,34.04,13.03,10.47,4643.98,1
p6_zm_vending_electric_cherry,5.20,3651,42.31,42.28,75.15,134428.97,1
nacht_wall_barrier_border,22.87,1421,16.00,206.00,128.00,421888.41,3
weapon_usa_flamethrower,0.33,902,28.68,4.17,7.91,945.62,1
weapon_usa_flamethrower_up,0.33,902,28.68,4.17,7.91,945.62,1
p7_zm_vending_packapunch,41.29,737,85.53,48.12,86.44,355755.25,1
p7_zm_vending_packapunch_on,41.29,737,85.53,48.12,86.44,355755.25,1
p7_light_spotlight_generator_02,16.33,642,33.52,58.80,115.97,228578.11,3
p7_aqu_stairs_metal_01_64,38.31,502,99.00,68.56,64.00,434428.13,13
p7_zm_dlchd_pro_honorguard_zombie_s_larm,0.43,453,16.74,4.61,5.16,398.68,1
p7_zm_dlchd_pro_honorguard_zombie_s_rarm,0.43,453,16.74,4.61,5.16,398.68,1
nacht_wall_barrier_01,4.48,420,4.75,42.69,37.74,7658.50,1
p7_eth_foliage_grass_xlarge,36.77,384,120.95,121.71,7.15,105320.65,444
p7_cai_hav_rock_park_01_cluster_b,2.41,372,31.13,42.22,5.73,7526.78,2
p7_tank_welding_dolly_full,5.70,362,18.75,24.25,53.81,24478.93,2
nacht_wall_barrier_06,4.17,342,4.73,35.11,32.98,5477.15,1
nacht_wall_barrier_02,2.15,342,4.64,25.99,23.18,2798.44,1
nacht_wall_barrier_05,3.80,342,4.61,38.67,28.43,5069.65,1
nacht_wall_barrier_04,5.18,333,4.83,39.74,39.66,7604.47,1
p7_lamp_old_wall_pan_01_on,5.00,322,32.88,24.20,18.89,15034.98,18
p7_cai_rock_rubble_pile_c,21.98,300,69.29,61.26,34.33,145723.25,2
nacht_wall_barrier_03,3.43,298,4.65,22.06,32.08,3293.90,1
p7_food_fruit_pineapple,0.57,286,8.43,8.00,15.76,1063.73,9
p7_cai_chair_lounge_greek,19.62,286,33.40,28.64,44.18,42263.77,3
p7_barrel_metal_55gal_burned_interior,2.60,274,22.64,22.47,6.54,3326.59,8
p7_coffee_grinder_01_black,5.48,272,16.70,12.28,27.64,5668.71,2
p7_hand_truck_vertical_dirty,7.95,260,18.79,22.69,50.95,21731.20,2
p7_ven_tomato_crate_01,9.59,249,19.06,24.44,7.46,3474.98,6
p7_barrel_vintage_wood_cloth,6.26,242,27.94,28.40,16.63,13193.15,8
p7_fan_electric_table,5.49,208,14.49,18.82,26.19,7137.52,3
p7_tank_welding_valve,0.47,196,4.25,4.01,6.11,104.27,3
p7_barbed_wire,12.32,188,109.75,29.56,29.74,96486.59,174
p7_box_cardboard_d_open01,33.03,178,21.06,36.12,23.07,17551.89,3
p7_foliage_tree_elm_english_autumn_medium,36.95,175,284.12,340.97,290.18,28111198.00,32
p7_locker_metal_barrack_door_left_02,16.47,174,23.53,2.89,51.97,3528.55,7
p7_fxp_debris_dirt_clod_07,0.70,170,8.41,7.59,6.02,384.49,179
p7_zm_der_handheld_radio,1.46,162,3.97,5.79,16.59,381.16,2
p7_tank_welding_guage,0.40,160,6.20,7.00,5.59,243.15,3
p7_zm_dlchd_pro_honorguard_zombie_s_rleg,2.86,158,16.54,13.48,7.49,1669.66,1
p7_zm_dlchd_pro_honorguard_zombie_s_lleg,2.71,157,16.54,13.48,7.49,1669.66,1
p7_locker_metal_military_door_a,42.04,146,33.53,2.43,86.43,7037.36,2
p7_zur_nw_clamp_lamp_factory_hanging,8.29,146,24.20,24.20,11.00,6442.89,40
p6_blackout_door_frame,46.29,144,10.00,64.00,104.00,66560.05,11
aml_fish_bass,2.23,138,10.36,23.02,9.73,2322.13,2
p7_locker_metal_barrack_door_right_02,20.51,136,23.53,1.14,51.97,1398.95,7
p7_food_fruit_banana_bunch,1.96,134,9.81,10.63,5.03,524.73,31
p7_zm_der_light_spot_housing_anim,12.60,126,25.78,24.53,25.97,16420.30,11
veh_t7_zmb_zod_train_light_ceiling,3.03,112,16.23,16.23,5.70,1500.61,9
p7_food_fruit_mango,0.55,110,3.89,3.76,5.82,85.21,81
p7_crate_ammo_metal_small,10.29,108,15.97,18.05,8.00,2305.39,65
p7_pallet_truck_dirty,46.44,108,65.57,25.50,49.09,82084.16,2
p7_tank_welding_sml_full,8.07,104,8.78,8.78,30.25,2331.78,2
p7_tank_propane_metal,9.46,102,15.21,15.21,20.19,4669.51,4
p7_cai_hav_rock_park_01_cluster_e,4.57,98,24.57,33.66,5.12,4239.29,2
p7_chair_folding_wood_worn,14.29,98,24.16,23.20,38.84,21763.74,4
p7_container_jug_water_gallon_b,2.18,96,6.87,7.39,9.76,495.43,2
p7_global_chainlink_fence_door_elbow,1.39,96,4.51,7.29,7.15,235.25,9
p7_chair_stool_02_worn,5.16,96,22.58,22.58,21.98,11203.90,2
p7_barrel_keg_beer_metal_small_rusty,23.10,96,22.58,22.48,21.12,10722.03,3
p7_box_cardboard_c_open01,44.88,94,23.79,25.99,15.60,9645.40,2
p7_tank_nitrogen_metal_grey,34.07,88,17.99,17.99,50.63,16391.62,6
p7_skulls_bones_head_02,2.51,84,9.70,6.70,8.20,532.90,2
p7_barrel_vintage_wood_lid,9.27,74,20.87,20.81,0.39,171.18,23
p7_bottle_glass_sparkling_water,1.82,72,4.47,4.44,13.01,258.28,2
p7_cai_hav_rock_park_01_cluster_f,14.12,70,32.85,49.82,9.92,16232.55,2
p7_tools_shovel,7.37,70,11.60,59.45,8.50,5861.04,2
p7_tank_welding_med_full,16.28,70,8.74,8.43,43.75,3223.24,2
p7_crate_wood_vintage,29.10,68,20.09,13.93,11.89,3328.97,31
p7_zm_zod_traditional_lampost_01,48.69,68,17.65,27.38,126.42,61111.53,2
p7_eth_shop_helmet_black,4.24,64,11.25,8.56,6.07,584.63,57
p7_barrel_vintage_wood,48.52,60,25.03,25.03,32.62,20438.82,30
p7_light_hurricane_lamp,15.71,60,12.83,11.50,26.46,3905.17,67
p7_aqu_railings_set_stairs_metal_48,29.10,60,5.43,49.14,56.97,15206.47,25
fx_rifle_shell_blur,0.03,58,0.36,1.73,0.34,0.21,1
