index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,techset,mc/lit_decal_diffuse_spec_gloss#e6142445,42,0,|mc/mtl_c_gen_gib_blood_splatters|material|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
3,material,mc/mtl_c_gen_gib_gore_arm_right_a,35,0,|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
4,techset,mc/lit_plus#e6142445,22,0,|mc/mtl_c_gen_arm_skin_dirty_notskin|material|c_nrc_gen_g_larmspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
5,material,mc/mtl_c_gen_gib_gore_arm_right,33,0,|zone_source/loc/zm_nacht_remastered.zone|csv
6,techset,mc/vegetation#e6142445,24,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
7,material,mc/mtl_gib_chunk_set,22,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
8,physpreset,gib,5,0,|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
9,xmodel,p7_gib_chunk_meat_01,22,0,|zone_source/loc/zm_nacht_remastered.zone|csv
10,xmodel,p7_gib_chunk_meat_02,22,0,|zone_source/loc/zm_nacht_remastered.zone|csv
11,xmodel,p7_gib_chunk_meat_03,22,0,|zone_source/loc/zm_nacht_remastered.zone|csv
12,xmodel,p7_gib_chunk_flesh_01,23,0,|zone_source/loc/zm_nacht_remastered.zone|csv
13,xmodel,p7_gib_chunk_flesh_03,23,0,|zone_source/loc/zm_nacht_remastered.zone|csv
14,xmodel,p7_gib_chunk_bone_03,22,0,|zone_source/loc/zm_nacht_remastered.zone|csv
15,material,mc/mtl_c_gen_gib_gore_leg_calf,32,0,|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
16,material,mc/mtl_c_gen_gib_gore_leg_calf_a,34,0,|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
17,techset,mc/lit_transition#e6142445,28,0,|mc/mtl_c_nrc_cqb_boot|material|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
18,image,i_c_gen_char_g,16,0,|mc/mtl_c_nrc_cqb_boot|material|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
19,image,i_c_gen_gib_stump_ao,101,21864,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_nacht_remastered.zone|csv
20,image,$gray_32_one_channel,22,0,|mc/mtl_c_gen_gib_gore_leg_thigh|material|zone_source/loc/zm_nacht_remastered.zone|csv
21,image,i_c_gen_char_c,16,0,|mc/mtl_c_nrc_cqb_boot|material|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
22,image,i_c_gen_gib_stump_n,292,742760,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_nacht_remastered.zone|csv
23,image,i_c_gen_gib_stump_g,260,109208,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_nacht_remastered.zone|csv
24,image,i_c_gen_reveal_1k_rec_horiz_r,286,393216,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_nacht_remastered.zone|csv
25,image,i_c_gen_gib_stump_c,276,393216,|mc/mtl_c_gen_gib_stump|material|zone_source/loc/zm_nacht_remastered.zone|csv
26,image,i_c_gen_char_n,16,0,|mc/mtl_c_nrc_cqb_boot|material|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
27,material,mc/mtl_c_gen_gib_stump,1752,0,|zone_source/loc/zm_nacht_remastered.zone|csv
28,image,$white_reveal,15,0,|mc/mtl_c_gen_gib_blood_splatters|material|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
29,image,$white_gloss,14,0,|mc/mtl_c_gen_arm_skin_dirty_notskin|material|c_nrc_gen_g_larmspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
30,image,i_c_gen_gib_alpha_c,116,742760,|mc/mtl_c_gen_gib_alpha|material|zone_source/loc/zm_nacht_remastered.zone|csv
31,material,mc/mtl_c_gen_gib_alpha,911,0,|zone_source/loc/zm_nacht_remastered.zone|csv
32,material,mc/mtl_c_gen_gib_gore_leg_thigh,33,0,|zone_source/loc/zm_nacht_remastered.zone|csv
33,material,mc/mtl_c_gen_gib_gore_leg_thigh_a,35,0,|zone_source/loc/zm_nacht_remastered.zone|csv
34,sound,zm_nacht_remastered.en,54,0,||assetlist
35,techset,mc/lit_advanced#e6142445,26,0,|mc/mtl_c_ega_soldier_3_gloves|material|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
36,material,mc/mtl_c_ega_soldier_3_gloves,31,0,|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
37,material,mc/mtl_c_gen_arm_skin_dirty_notskin,37,0,|c_nrc_gen_g_larmspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
38,material,mc/mtl_c_gen_gib_blood_splatters,34,0,|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
39,xmodel,c_nrc_gen_g_larmspawn,23,0,|zone_source/loc/zm_nacht_remastered.zone|csv
40,material,mc/mtl_c_nrc_cqb_boot,23,0,|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
41,xmodel,c_nrc_gen_g_rlegspawn,23,0,|zone_source/loc/zm_nacht_remastered.zone|csv
42,keyvaluepairs,en_zm_nacht_remastered,6070,0,||assetlist
43,image,i_c_gen_gib_gore_arm_right_c,30,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_nacht_remastered.zone|csv
44,image,i_c_gen_gib_gore_arm_right_g,30,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_nacht_remastered.zone|csv
45,image,i_c_gen_gib_gore_arm_right_n,30,0,|mc/mtl_c_gen_gib_gore_arm_right|material|zone_source/loc/zm_nacht_remastered.zone|csv
46,image,$white_ao,11,0,|mc/mtl_c_gen_gib_gore_leg_thigh|material|zone_source/loc/zm_nacht_remastered.zone|csv
47,image,i_mtl_p7_gib_chunk_set_c,26,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_nacht_remastered.zone|csv
