index,type,name,resident,streamed,parentStack
1,string,,92598,0,||assetlist
2,xmodelmesh,aml_fish_market_02_lod337b9cbf4,952,0,|aml_fish_market_02|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
3,xmodelmesh,aml_fish_market_03_lod0b1d303cd,1040,0,|aml_fish_market_03|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
4,xmodelmesh,aml_fish_salmon_01_lod35238e444,1056,0,|aml_fish_salmon_01|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
5,xmodelmesh,p6_wooden_support_lod0ff9b9765,1904,0,|p6_wooden_support|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
6,xmodelmesh,p7_ban_canteen_bottle_lod7853cad2d,1232,0,|p7_ban_canteen_bottle|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
7,xmodelmesh,p7_ban_crate_wood_vintage_lod7f84b94b2,464,7920,|p7_ban_crate_wood_vintage|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
8,xmodelmesh,p7_barbed_wire_lod624d7c18,4288,0,|p7_barbed_wire|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
9,xmodelmesh,p7_barbed_wire_b_flat_lod0d74fed18,1280,0,|p7_barbed_wire_b_flat|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
10,xmodelmesh,p7_basket_wood_round_tall_01_lod51dec39b1,464,4944,|p7_basket_wood_round_tall_01|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
11,xmodelmesh,p7_bottle_plastic_2litre_crushed_lod04209fc6f,1040,0,|p7_bottle_plastic_2litre_crushed_green|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
12,xmodelmesh,p7_bottle_plastic_cleaner_lod0b9281d9c,1120,0,|p7_bottle_plastic_cleaner_dmg|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
13,xmodelmesh,p7_bottles_plastic_shampoo02_dmg_lod036cfddf9,1232,0,|p7_bottle_plastic_shampoo02_dmg|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
14,xmodelmesh,p7_bulletin_board_cork_lod4bc212711,1600,0,|p7_bulletin_board_cork|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
15,xmodelmesh,p7_cai_cookware_metal_tray_lod3d93807ec,880,0,|p7_cai_cookware_metal_tray|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
16,xmodelmesh,p7_cai_work_table_wood_01_bare_lod5f77d66d0,1744,0,|p7_cai_work_table_wood_01_bare|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
17,xmodelmesh,p7_cai_work_table_wood_02_bare_lod565294569,1456,0,|p7_cai_work_table_wood_02_bare|xmodel|maps/zm/zm_swamp_remastered.d3dbsp|gfx_map|zone_source/zm_swamp_remastered.zone|csv
