xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p7_wes_gate_entrance_rope,0.79,1172,15.99,16.49,7.50,1977.28,21
p7_wes_rope_coil,0.18,728,3.08,6.95,18.48,395.90,3
p7_barrel_vintage_wood_curvy_rusty,8.70,394,26.53,26.62,32.50,22947.62,6
p7_barrel_vintage_wood_curvy_rusty_wet,8.70,394,26.53,26.62,32.50,22947.62,3
p7_eth_rock_park_01_cluster_b,2.41,372,31.13,42.22,5.73,7526.78,43
p7_eth_rock_park_01_cluster_a,2.43,360,24.57,33.66,5.12,4239.29,45
p7_foliage_tree_palm_coconut_small,36.21,346,324.67,370.30,407.58,49002772.00,16
p7_zm_zod_phone_wall_vintage,0.91,299,5.34,6.24,21.36,712.84,4
p7_barrel_metal_55gal_burned_interior,2.60,274,22.64,22.47,6.54,3326.59,5
p7_pan_metal_sauce_dirty,2.03,260,16.11,11.18,5.97,1074.70,4
p7_wes_wood_plank_single_long,23.16,229,252.11,8.05,2.12,4301.02,6
p7_rope_pile,6.01,226,44.35,48.42,10.76,23111.06,8
p7_pot_metal_stock_dirty,1.69,225,16.76,8.53,5.97,853.02,15
p7_wes_wood_plank_single_01,12.77,219,131.90,8.12,2.31,2476.47,19
aml_fish_pike,3.99,192,12.74,45.19,12.07,6949.42,33
p7_barbed_wire,12.32,188,109.75,29.56,29.74,96486.59,29
p7_rope_pile_lrg_01,15.68,183,46.68,53.57,33.11,82800.13,5
p7_bottle_glass_vodka_broken_01,0.24,152,3.12,5.06,3.09,48.77,17
p7_zur_nw_clamp_lamp_factory_hanging,8.29,146,24.20,24.20,11.00,6442.89,2
p7_food_fruit_watermelon,3.09,144,10.91,10.89,12.61,1497.93,3
p7_farm_tools_pitchfork,3.78,126,12.76,76.85,2.78,2725.39,4
p7_tiedown_u_hook_metal_01,0.27,100,5.35,0.61,7.46,24.40,10
p7_bottle_milk_broken_top,0.35,100,2.84,2.84,5.43,43.88,15
p7_basket_wood_round_01,12.11,100,16.74,17.43,13.80,4025.92,20
p7_cai_work_table_wood_03_bare,37.47,99,42.07,40.92,36.33,62526.99,4
p7_roof_tile_wood_01_32x64a,40.45,96,34.80,64.03,1.31,2907.63,13
p7_pot_metal_boiling_lg,9.66,96,14.84,12.40,10.00,1839.48,12
p7_debris_clothing_pants_02,6.30,96,36.21,20.14,6.35,4628.44,17
p7_cai_cookware_metal_tray,8.57,92,22.53,22.53,1.24,627.39,5
p7_bottle_milk_broken_btm,0.43,92,2.84,2.84,2.53,20.36,15
p7_skulls_bones_head_01,2.32,88,9.72,6.70,7.86,512.35,3
p7_bottle_plastic_cleaner_dmg,1.90,74,2.95,4.99,13.09,193.00,17
p7_barrel_vintage_wood_lid,9.27,74,20.87,20.81,0.39,171.18,3
p7_ven_old_wood_bucket_01,18.17,74,14.93,14.94,17.38,3877.19,25
p7_conduit_rust_2_elbow90_short,0.70,68,5.00,2.00,5.00,50.00,5
p7_bottle_glass_wine_open_01,1.61,64,3.02,3.03,12.65,115.76,3
p7_bottle_plastic_16oz_blue_dmg,0.84,64,2.43,2.43,7.52,44.31,17
p7_bottle_plastic_16oz_cola_dmg,0.84,64,2.43,2.43,8.15,48.03,17
p7_eth_rock_park_01_cluster_c,5.15,64,19.09,37.32,5.49,3912.09,9
p7_chemistry_kit_round_flask,4.33,64,8.93,8.93,15.08,1203.87,2
p7_bottle_glass_liquor_03,1.85,64,3.39,3.39,12.52,143.72,5
