index,type,name,resident,streamed,parentStack
1,string,,79697,0,||assetlist
2,xmodelmesh,p7_zm_der_pswitch_body_lod0324925aa,2328,0,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_tall_building.d3dbsp|gfx_map|zone_source/zm_tall_building.zone|csv
3,xmodelmesh,p7_debris_wood_plywood_2x8_bowed_lod0341eff9,1584,0,|p7_debris_wood_plywood_2x8_bowed_dirty|xmodel|maps/zm/zm_tall_building.d3dbsp|gfx_map|zone_source/zm_tall_building.zone|csv
4,xmodelmesh,p7_duct_metal_rectangle_floor_base_lod18992dda4,2144,0,|p7_duct_metal_rectangle_floor_base_rust|xmodel|maps/zm/zm_tall_building.d3dbsp|gfx_map|zone_source/zm_tall_building.zone|csv
5,xmodelmesh,p7_ac_unit_xlarge_cheap_lod2384f5f87,2064,0,|p7_ac_unit_xlarge_cheap|xmodel|maps/zm/zm_tall_building.d3dbsp|gfx_map|zone_source/zm_tall_building.zone|csv
6,xmodelmesh,p7_duct_metal_rectangle_t_joint_lod160dd8221,2976,0,|p7_duct_metal_rectangle_t_joint_rust|xmodel|maps/zm/zm_tall_building.d3dbsp|gfx_map|zone_source/zm_tall_building.zone|csv
7,xmodelmesh,p7_duct_metal_rectangle_elbow_down_90_lod1b6839d13,2464,0,|p7_duct_metal_rectangle_elbow_down_90_rust|xmodel|maps/zm/zm_tall_building.d3dbsp|gfx_map|zone_source/zm_tall_building.zone|csv
8,xmodelmesh,p7_zm_der_transformer_base_lod0f836f3dc,2432,0,|p7_zm_der_transformer_base|xmodel|maps/zm/zm_tall_building.d3dbsp|gfx_map|zone_source/zm_tall_building.zone|csv
9,xmodelmesh,p7_zm_der_transformer_feet_lod060cd0dbd,1440,0,|p7_zm_der_transformer_feet|xmodel|maps/zm/zm_tall_building.d3dbsp|gfx_map|zone_source/zm_tall_building.zone|csv
10,xmodelmesh,p7_zm_der_transformer_ribs_lod0c325cfd4,1680,0,|p7_zm_der_transformer_ribs|xmodel|maps/zm/zm_tall_building.d3dbsp|gfx_map|zone_source/zm_tall_building.zone|csv
