xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p7_zm_vending_packapunch,41.29,737,85.53,48.12,86.44,355755.25,1
p7_zm_vending_packapunch_on,41.29,737,85.53,48.12,86.44,355755.25,1
p7_duct_metal_rectangle_floor_base_rust,11.69,196,50.00,64.00,18.10,57918.18,11
p7_chair_stool_diner,11.59,112,19.97,19.97,31.73,12650.01,1
veh_t7_raps_drone_piece_05,2.23,72,10.72,11.51,2.42,298.68,1
p7_fxp_debris_wood_splinter_03,0.39,52,1.00,6.09,1.13,6.85,1
p7_fxp_debris_wood_splinter_02,0.15,48,0.78,3.73,0.88,2.55,1
p7_zm_der_pswitch_handle,8.56,44,18.42,4.44,25.20,2060.67,1
p7_zm_der_chainlink_fence_post_cap_snow,0.87,40,4.36,4.36,3.41,64.92,6
p7_zm_der_chainlink_fence_post_cap,0.87,40,4.36,4.36,3.41,64.92,19
p7_zm_der_chainlink_fence_door_bracket_snow,2.24,40,4.06,14.17,2.96,170.34,5
p7_brick_hvy_grout_breakout_08,18.07,34,4.84,28.51,15.79,2178.96,21
p7_zm_der_transformer_rod,41.19,32,16.00,16.00,45.50,11647.99,7
c_zom_der_zombie_helmet1,7.07,32,10.01,10.56,9.27,979.39,1
p7_brick_hvy_grout_breakout_09,19.97,32,4.89,36.51,15.98,2855.16,5
p7_brick_hvy_grout_breakout_10_wet,19.63,32,5.09,34.77,16.00,2833.41,3
p7_zm_der_chainlink_fence_rail_end_snow,1.45,28,9.13,4.06,3.13,116.06,37
p7_zm_der_chainlink_fence_door_lock_snow,8.47,28,6.66,15.47,5.61,578.09,2
p7_fxp_debris_dirt_clod_01_brown,0.43,28,2.59,1.59,1.72,7.13,1
p7_elevator_metal_button_call_gold,4.52,24,4.05,6.79,8.11,223.01,7
p7_zm_der_chainlink_fence_door_elbow_snow,3.61,24,4.51,7.29,7.15,235.25,5
p7_zm_der_chainlink_fence_door_elbow,3.61,24,4.51,7.29,7.15,235.25,5
p7_zm_der_magic_box_fake,28.14,20,12.97,10.80,14.06,1970.22,1
p7_zm_der_chainlink_fence_tension_band_snow,2.17,16,7.54,4.10,1.27,39.19,57
p7_zm_der_chainlink_fence_metal_base_snow,12.70,16,9.88,9.88,9.98,973.07,6
p7_gib_chunk_flesh_01,2.48,16,4.98,1.51,5.99,45.20,1
p7_gib_chunk_flesh_02,1.75,16,1.42,5.32,4.56,34.36,1
p7_gib_chunk_flesh_03,1.63,16,3.89,1.82,4.60,32.62,1
p7_gib_chunk_bone_01,0.66,16,1.93,2.13,4.84,19.91,1
p7_gib_chunk_bone_02,0.91,16,2.83,3.32,2.05,19.34,1
c_zom_zod_zombie_fem_body1_g_rlegspawn,8.35,16,11.92,8.81,4.88,512.85,1
p7_gib_chunk_meat_02,3.93,16,4.00,7.68,5.48,168.48,1
p7_gib_chunk_meat_01,4.31,16,2.61,7.35,8.75,167.67,1
c_zom_zod_zombie_fem_body1_g_rarmspawn,1.62,16,10.08,4.44,4.24,189.80,1
p7_fxp_debris_wood_splinter_01,0.21,16,0.95,1.67,0.29,0.45,1
p7_zm_der2_vending_packapunch_sign_wait,27.90,16,20.44,0.25,21.56,111.32,1
p7_fxp_debris_rock_01,0.75,16,2.59,1.59,1.72,7.13,1
p7_gib_chunk_bone_03,1.07,16,2.66,4.52,3.11,37.40,1
p7_fxp_debris_car_glass_shatter_01,0.06,16,0.63,0.74,0.41,0.19,1
p7_fxp_debris_car_glass_shatter_02,0.07,16,0.60,0.79,0.42,0.20,1
p7_fxp_debris_rock_03,2.50,16,4.58,4.01,1.96,36.05,1
p7_fxp_debris_rock_02,1.01,16,3.34,1.90,2.12,13.47,1
p7_gib_chunk_meat_03,4.97,15,3.14,6.78,7.21,153.74,1
c_zom_zod_zombie_fem_body1_g_larmspawn,0.75,15,10.08,4.44,4.24,189.80,1
c_zom_zod_zombie_fem_body1_g_llegspawn,8.84,15,11.92,8.81,4.88,512.85,1
p7_chain_metal_bracket_01,9.90,12,6.00,6.00,5.00,180.00,4
p7_fxp_debris_car_glass_shatter_03,0.07,12,0.59,0.61,0.26,0.09,1
p7_zm_der2_signage_hazard_01,33.50,8,15.24,0.65,13.59,134.72,4
