index,type,name,resident,streamed,parentStack
1,string,,81440,0,||assetlist
2,xmodelmesh,p7_debris_wood_plywood_2x8_bowed_lod0341eff9,1552,0,|p7_debris_wood_plywood_2x8_bowed_dirty|xmodel|maps/zm/zm_ui3dtest.d3dbsp|gfx_map|zone_source/zm_ui3dtest.zone|csv
3,xmodelmesh,p7_zm_der2_vending_packapunch_sign_wait_lod012e8b576,2096,0,|p7_zm_der2_vending_packapunch_sign_wait|xmodel|spx_craftable_pap.zpkg|csv|zone_source/zm_ui3dtest.zone|csv
4,xmodelmesh,p7_anim_zm_barricade_board_01_lod08c31ae6e,1552,0,|p7_anim_zm_barricade_board_01|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_ui3dtest.d3dbsp|col_map|zone_source/zm_ui3dtest.zone|csv
5,xmodelmesh,p7_anim_zm_barricade_board_02_lod0491df694,1936,0,|p7_anim_zm_barricade_board_02|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_ui3dtest.d3dbsp|col_map|zone_source/zm_ui3dtest.zone|csv
6,xmodelmesh,p7_anim_zm_barricade_board_03_lod017d3dfbc,1840,0,|p7_anim_zm_barricade_board_03|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_ui3dtest.d3dbsp|col_map|zone_source/zm_ui3dtest.zone|csv
7,xmodelmesh,p7_anim_zm_barricade_board_04_lod0fcb92db7,1456,0,|p7_anim_zm_barricade_board_04|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_ui3dtest.d3dbsp|col_map|zone_source/zm_ui3dtest.zone|csv
8,xmodelmesh,p7_anim_zm_barricade_board_05_lod0c7707369,1680,0,|p7_anim_zm_barricade_board_05|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_ui3dtest.d3dbsp|col_map|zone_source/zm_ui3dtest.zone|csv
9,xmodelmesh,p7_anim_zm_barricade_board_06_lod08f8bba21,1872,0,|p7_anim_zm_barricade_board_06|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_ui3dtest.d3dbsp|col_map|zone_source/zm_ui3dtest.zone|csv
10,xmodelmesh,p7_gib_chunk_meat_02_lod021a20dee,1072,0,|p7_gib_chunk_meat_02|xmodel|impacts/fx_bul_impact_blood_head_fatal|fx|entity_enter_bullet_small|entityfximpacts|bullet_small_enter|impactsfxtable|pistol_c96_zm|weapon|t7_weapons_dlc.zpkg|csv|zone_source/zm_ui3dtest.zone|csv
