xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p8_vending_machine_soda_01_base,1.11,16414,40.75,37.89,74.84,115555.67,1
zombie_vending_tombstone,5.17,3901,53.50,30.23,112.77,182428.86,1
p6_zm_vending_electric_cherry,5.20,3651,42.31,42.28,75.15,134428.97,1
t6_wpn_zmb_shield_dmg1_view_upgraded,2.23,2048,21.73,42.33,57.64,53013.35,1
t6_wpn_zmb_shield_dmg1_view,2.23,2048,21.73,42.33,57.64,53013.35,1
t6_wpn_zmb_shield_dmg2_view_upgraded,2.36,1924,23.19,42.33,57.57,56515.11,1
t6_wpn_zmb_shield_dmg2_view,2.36,1924,23.19,42.33,57.57,56515.11,1
wpn_t6_tazer_knuckles_world,0.06,1834,4.56,3.77,5.90,101.50,1
t6_wpn_zmb_shield_dmg2_world_upgraded,4.53,1743,35.42,37.22,58.52,77141.77,1
t6_wpn_zmb_shield_dmg2_world,4.53,1743,35.42,37.22,58.52,77141.77,1
t6_wpn_zmb_shield_view_upgraded,2.72,1679,22.64,42.33,57.64,55237.05,1
t6_wpn_zmb_shield_view,2.72,1679,22.64,42.33,57.64,55237.05,1
t6_wpn_zmb_shield_dmg1_world,5.19,1564,24.35,37.22,57.85,52429.81,1
t6_wpn_zmb_shield_dmg1_world_upgraded,5.19,1564,24.35,37.22,57.85,52429.81,1
t6_wpn_zmb_shield_world,5.68,1555,24.35,37.22,57.64,52241.14,1
t6_wpn_zmb_shield_world_upgraded,5.68,1555,24.35,37.22,57.64,52241.14,1
wm_jetgun_part_4,0.96,1252,25.18,24.99,7.43,4676.79,1
wm_jetgun_part_1,4.84,1250,59.98,24.69,20.52,30389.21,1
t6_wpn_zmb_shield_dolly,4.66,1228,24.35,29.15,57.64,40906.01,1
t6_wpn_zmb_perk_bottle_tombstone_view,0.26,1072,3.66,3.66,13.42,179.73,1
p_glo_tools_chest_short,2.95,904,29.76,18.11,11.48,6188.86,3
p_rus_desklamp_wmd_on,0.30,871,5.60,16.75,21.12,1978.66,3
p7_zm_vending_packapunch_on,41.29,737,85.53,48.12,86.44,355755.25,1
p7_zm_vending_packapunch,41.29,737,85.53,48.12,86.44,355755.25,1
t6_wpn_zmb_shield_door,4.13,710,11.03,36.20,42.34,16910.30,1
p7_zm_dlchd_pro_honorguard_zombie_s_rarm,0.43,453,16.74,4.61,5.16,398.68,1
p7_zm_dlchd_pro_honorguard_zombie_s_larm,0.43,453,16.74,4.61,5.16,398.68,1
p8_ice_block_01,10.93,416,22.41,16.25,40.45,14731.78,1
t6_wpn_zmb_perk_bottle_tombstone_world,0.37,368,3.66,3.66,13.42,179.74,1
wm_jetgun_part_2,0.68,338,9.26,11.31,5.44,570.30,1
wm_jetgun_part_3,0.62,270,10.57,10.07,3.80,404.31,1
p7_fxanim_zm_power_switch_mod,41.41,257,39.64,36.86,95.54,139607.67,1
p8_ice_block_02,16.65,228,24.39,18.47,40.37,18191.47,1
p7_zm_dlchd_pro_honorguard_zombie_s_rleg,2.86,158,16.54,13.48,7.49,1669.66,1
p7_zm_dlchd_pro_honorguard_zombie_s_lleg,2.71,157,16.54,13.48,7.49,1669.66,1
p7_fxp_debris_wood_splinter_03,0.39,52,1.00,6.09,1.13,6.85,1
p7_fxp_debris_wood_splinter_02,0.15,48,0.78,3.73,0.88,2.55,1
p7_zm_der_pswitch_handle,8.56,44,18.42,4.44,25.20,2060.67,1
p7_fxp_debris_dirt_clod_01_brown,0.43,28,2.59,1.59,1.72,7.13,1
wpn_t7_grenade_frag_projectile,0.94,22,3.05,3.01,3.53,32.35,1
p7_zm_der_magic_box_fake,28.14,20,12.97,10.80,14.06,1970.22,1
p7_zm_der2_vending_packapunch_sign_wait,27.90,16,20.44,0.25,21.56,111.32,2
p7_gib_chunk_meat_02,3.93,16,4.00,7.68,5.48,168.48,1
p7_gib_chunk_flesh_03,1.63,16,3.89,1.82,4.60,32.62,1
p7_fxp_debris_rock_01,0.75,16,2.59,1.59,1.72,7.13,1
p7_fxp_debris_rock_02,1.01,16,3.34,1.90,2.12,13.47,1
p7_gib_chunk_bone_03,1.07,16,2.66,4.52,3.11,37.40,1
p7_fxp_debris_car_glass_shatter_01,0.06,16,0.63,0.74,0.41,0.19,1
p7_fxp_debris_car_glass_shatter_02,0.07,16,0.60,0.79,0.42,0.20,1
p7_fxp_debris_rock_03,2.50,16,4.58,4.01,1.96,36.05,1
p7_gib_chunk_bone_02,0.91,16,2.83,3.32,2.05,19.34,1
p7_gib_chunk_bone_01,0.66,16,1.93,2.13,4.84,19.91,1
p7_gib_chunk_meat_01,4.31,16,2.61,7.35,8.75,167.67,1
p7_gib_chunk_flesh_02,1.75,16,1.42,5.32,4.56,34.36,1
p7_icicle_single,4.20,16,3.38,3.74,23.51,297.11,1
p7_gib_chunk_flesh_01,2.48,16,4.98,1.51,5.99,45.20,1
p7_fxp_debris_wood_splinter_01,0.21,16,0.95,1.67,0.29,0.45,1
p7_gib_chunk_meat_03,4.97,15,3.14,6.78,7.21,153.74,1
p7_fxp_debris_car_glass_shatter_03,0.07,12,0.59,0.61,0.26,0.09,1
p7_window_glass_shard_01_snow_backlit,9.38,10,10.45,0.25,8.07,21.32,1
