index,type,name,resident,streamed,parentStack
1,string,,128120,0,||assetlist
2,xmodelmesh,p7_debris_wood_plywood_2x8_bowed_lod0341eff9,1560,0,|p7_debris_wood_plywood_2x8_bowed_dirty|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
3,xmodelmesh,p7_zm_der_trap_control_box_lod08421ea18,1408,0,|p7_zm_der_trap_control_box|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
4,xmodelmesh,p7_zm_der_signage_hazard_01_lod08a5a5f43,944,0,|p7_zm_der_signage_hazard_01|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
5,xmodelmesh,p7_zm_der_trap_control_conduit_lod05b0261a5,1152,0,|p7_zm_der_trap_control_conduit|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
6,xmodelmesh,p7_zm_der_light_socket_lod07c177a3c,1488,0,|p7_zm_der_light_socket|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
7,xmodelmesh,p7_zm_der_light_cage_02_lod0c7c6b782,1632,0,|p7_zm_der_light_cage_02|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
8,xmodelmesh,p7_zm_der_light_glass_cover_lod0185e4b,1040,0,|p7_zm_der_light_bulb_glass_cover|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
9,xmodelmesh,p7_zm_der_light_bulb_small_lod051d2f25a,1216,0,|p7_zm_der_light_bulb_small_off|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
10,xmodelmesh,p7_zm_der_pswitch_body_lod0324925aa,2496,0,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
11,xmodelmesh,p7_shelf_industrial_vintage_48_lod5256ec60c,352,5216,|p7_shelf_industrial_vintage_48|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
12,xmodelmesh,p7_ammo_pouch_k98_lod0ba2fa4b0,1056,0,|p7_ammo_pouch_k98|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
13,xmodelmesh,p7_ammo_pouch_mp40_lod019776c31,1504,0,|p7_ammo_pouch_mp40|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
14,xmodelmesh,p7_box_case_metal_01_medium_lod0d4d1ff3d,3504,0,|p7_box_case_metal_01_medium|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
15,xmodelmesh,p7_box_case_metal_02_large_lod03d951cd2,3232,0,|p7_box_case_metal_02_large_weathered|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
16,xmodelmesh,p7_medical_case_02_lid_lod066cd7b17,1312,0,|p7_medical_case_02_lid_dirty|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
17,xmodelmesh,p7_medical_case_02_handle_lod1d75e254d,1040,0,|p7_medical_case_02_handle|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
18,xmodelmesh,p7_medical_case_02_base_lod14979d361,1712,0,|p7_medical_case_02_dirty|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
19,xmodelmesh,p7_medical_gauze_sanitation_towels_02_lod53615e03f,2208,0,|p7_medical_gauze_sanitation_towels_02_dirty|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
20,xmodelmesh,veh_t7_turret_mg42_no_tripod_lod0c63563f9,464,17040,|veh_t7_turret_mg42_notripod|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
21,xmodelmesh,veh_t7_mil_tank_tiger_dead_lod1335845d0,1696,148496,|veh_t7_mil_tank_tiger_dead|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
22,xmodelmesh,veh_t7_dlc_truck_russian_wheel_rear_lod7d3ed06fd,2320,0,|veh_t7_dlc_truck_russian_wheel_rear|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
23,xmodelmesh,veh_t7_dlc_truck_russian_wheel_front_lod7b3a4ffb1,1568,0,|veh_t7_dlc_truck_russian_wheel_front|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
24,xmodelmesh,veh_t7_dlc_truck_russian_parts_attach_lod72a1b569b,3888,0,|veh_t7_dlc_truck_russian_parts_attach|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
25,xmodelmesh,veh_t7_dlc_truck_german_gascan_attach_lod74d47786,1168,0,|veh_t7_dlc_truck_german_gascan_attach|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
26,xmodelmesh,veh_t7_dlc_truck_german_flatbed_attach_lod0ecd90a3b,384,4176,|veh_t7_dlc_truck_german_flatbed_attach|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
27,xmodelmesh,veh_t7_dlc_truck_german_bed_attach_lod06c8ca858,4576,0,|veh_t7_dlc_truck_german_bed_attach|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
28,xmodelmesh,veh_t7_dlc_truck_german_base_green_lod0efd5122c,784,19392,|veh_t7_dlc_truck_german_base_green|xmodel|maps/zm/zm_verrukt_remastered.d3dbsp|gfx_map|zone_source/zm_verrukt_remastered.zone|csv
