index,type,name,resident,streamed,parentStack
1,string,,104394,0,||assetlist
2,xmodelmesh,wpn_t7_zmb_perk_bottle_lod1d4e62fe0,1440,0,|wpn_t7_zmb_perk_bottle_elemental_pop_world|xmodel|zombie_perk_bottle_elemental_pop|weapon|hb21_perks.zpkg|csv|zone_source/zm_whoswho.zone|csv
3,xmodelmesh,p7_zm_der_pswitch_body_lod0324925aa,2384,0,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_whoswho.d3dbsp|gfx_map|zone_source/zm_whoswho.zone|csv
4,xmodelmesh,p7_debris_wood_plywood_2x8_bowed_lod0341eff9,1584,0,|p7_debris_wood_plywood_2x8_bowed_dirty|xmodel|maps/zm/zm_whoswho.d3dbsp|gfx_map|zone_source/zm_whoswho.zone|csv
5,xmodelmesh,p7_anim_zm_barricade_board_01_lod08c31ae6e,1744,0,|p7_anim_zm_barricade_board_01|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_whoswho.d3dbsp|col_map|zone_source/zm_whoswho.zone|csv
6,xmodelmesh,p7_anim_zm_barricade_board_02_lod0491df694,1936,0,|p7_anim_zm_barricade_board_02|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_whoswho.d3dbsp|col_map|zone_source/zm_whoswho.zone|csv
7,xmodelmesh,p7_anim_zm_barricade_board_03_lod017d3dfbc,1840,0,|p7_anim_zm_barricade_board_03|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_whoswho.d3dbsp|col_map|zone_source/zm_whoswho.zone|csv
8,xmodelmesh,p7_anim_zm_barricade_board_04_lod0fcb92db7,1456,0,|p7_anim_zm_barricade_board_04|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_whoswho.d3dbsp|col_map|zone_source/zm_whoswho.zone|csv
9,xmodelmesh,p7_anim_zm_barricade_board_05_lod0c7707369,1680,0,|p7_anim_zm_barricade_board_05|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_whoswho.d3dbsp|col_map|zone_source/zm_whoswho.zone|csv
10,xmodelmesh,p7_anim_zm_barricade_board_06_lod08f8bba21,1872,0,|p7_anim_zm_barricade_board_06|xmodel|zmcore_basicwoodbarrier|zbarrier|maps/zm/zm_whoswho.d3dbsp|col_map|zone_source/zm_whoswho.zone|csv
11,xmodelmesh,p7_zm_der_pswitch_handle_lod09e863e5e,1520,0,|p7_zm_der_pswitch_handle|xmodel|maps/zm/zm_whoswho.d3dbsp|col_map|zone_source/zm_whoswho.zone|csv
12,xmodelmesh,p7_zm_vending_packapunch_lod0e27f6c62,1360,9584,|p7_zm_vending_packapunch_on|xmodel|zmcore_packapunch|zbarrier|maps/zm/zm_whoswho.d3dbsp|col_map|zone_source/zm_whoswho.zone|csv
