xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p9_sur_machine_mule_kick_off,0.19,252648,68.21,37.76,113.68,292794.28,1
p9_sur_machine_mule_kick,0.19,252648,68.21,37.76,113.68,292794.28,1
p9_sur_machine_elemental_pop_off,0.50,89426,69.89,40.33,95.96,270490.53,1
p9_sur_machine_elemental_pop,0.50,89426,69.89,40.33,95.96,270490.53,1
p9_sur_vending_ads_off,0.25,82126,53.99,31.12,103.01,173056.13,1
p9_sur_vending_ads,0.25,82126,53.99,31.12,103.01,173056.13,1
p9_sur_machine_phd_slider,0.25,67868,29.34,20.26,96.09,57120.03,1
p9_sur_machine_phd_slider_off,0.25,67868,29.34,20.26,96.09,57120.03,1
p9_sur_machine_tombstone,0.85,53560,61.60,27.67,109.46,186606.61,1
p9_sur_machine_tombstone_off,0.85,53560,61.60,27.67,109.46,186606.61,1
p9_sur_machine_staminup,0.88,34917,48.78,27.82,90.50,122816.77,1
p9_sur_machine_staminup_off,0.88,34917,48.78,27.82,90.50,122816.77,1
p9_sur_machine_speed_cola,1.16,32786,54.06,34.08,105.95,195182.00,1
p9_sur_machine_speed_cola_off,1.16,32786,54.06,34.08,105.95,195182.00,1
p9_sur_machine_quick_revive,0.76,28110,51.45,40.02,87.52,180188.89,1
p9_sur_machine_quick_revive_off,0.76,28110,51.45,40.02,87.52,180188.89,1
p9_sur_machine_juggernog,0.86,27210,39.46,33.09,107.52,140413.70,1
p9_sur_machine_juggernog_off,0.86,27210,39.46,33.09,107.52,140413.70,1
xela_perk_vulture_aid,0.56,23735,50.99,26.60,95.04,128901.41,1
xela_perk_vulture_aid_off,0.56,23735,50.99,26.60,95.04,128901.41,1
p9_sur_machine_tombstone_grave,0.34,18592,36.00,16.90,36.00,21899.83,1
p9_fxanim_zm_gp_speed_cola_lava_xmodel,0.07,12048,15.94,9.56,48.28,7360.52,1
wpn_t7_zmb_perk_bottle_elemental_pop_view,0.07,6010,3.62,3.62,13.47,176.56,1
p6_zm_vending_electric_cherry,5.20,3651,42.31,42.28,75.15,134428.97,1
p6_zm_vending_chugabud,6.82,3494,65.00,67.31,109.89,480779.06,1
t6_wpn_zmb_perk_bottle_nuke_view,0.26,1072,3.66,3.66,13.42,179.73,1
t6_wpn_zmb_perk_bottle_tombstone_view,0.26,1072,3.66,3.66,13.42,179.73,1
t6_wpn_zmb_perk_bottle_whoswho_view,0.26,1072,3.66,3.66,13.42,179.73,1
t6_wpn_zmb_perk_bottle_vulture_view,0.26,1072,3.66,3.66,13.42,179.73,1
p7_zm_vending_packapunch_on,41.29,737,85.53,48.12,86.44,355755.25,1
p7_zm_vending_packapunch,41.29,737,85.53,48.12,86.44,355755.25,1
p7_zm_dlchd_pro_honorguard_zombie_s_larm,0.43,453,16.74,4.61,5.16,398.68,1
p7_zm_dlchd_pro_honorguard_zombie_s_rarm,0.43,453,16.74,4.61,5.16,398.68,1
t6_wpn_zmb_perk_bottle_nuke_world,0.37,368,3.66,3.66,13.42,179.74,1
t6_wpn_zmb_perk_bottle_tombstone_world,0.37,368,3.66,3.66,13.42,179.74,1
t6_wpn_zmb_perk_bottle_whoswho_world,0.37,368,3.66,3.66,13.42,179.74,1
t6_wpn_zmb_perk_bottle_vulture_world,0.37,368,3.66,3.66,13.42,179.74,1
p7_zm_dlchd_pro_honorguard_zombie_s_rleg,2.86,158,16.54,13.48,7.49,1669.66,1
p7_zm_dlchd_pro_honorguard_zombie_s_lleg,2.71,157,16.54,13.48,7.49,1669.66,1
p7_cinder_block,4.99,148,16.16,6.23,8.01,807.17,5
p7_fxp_debris_wood_splinter_03,0.39,52,1.00,6.09,1.13,6.85,1
p7_fxp_debris_wood_splinter_02,0.15,48,0.78,3.73,0.88,2.55,1
p7_zm_der_pswitch_handle,8.56,44,18.42,4.44,25.20,2060.67,1
c_t7_mp_warrior_mpc_body1_s_rarm,3.62,28,8.80,5.88,5.60,289.82,1
