index,type,name,resident,streamed,parentStack
1,string,,0,0,||assetlist
2,localize,HB21_ZM_PERKS_PHDFLOPPER,78,0,||assetlist
3,localize,HB21_ZM_PERKS_TOMBSTONE,73,0,||assetlist
4,localize,HB21_ZM_PERKS_ELECTRIC_CHERRY,85,0,||assetlist
5,localize,HB21_ZM_PERKS_VULTUREAID,76,0,||assetlist
6,localize,HB21_ZM_PERKS_WHOSWHO,71,0,||assetlist
7,localize,HB21_ZM_PERKS_ELEMENTAL_POP,81,0,||assetlist
8,techset,mc/vegetation#e6142445,24,0,|mc/mtl_gib_chunk_set|material|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_whoswho.zone|csv
9,material,mc/mtl_gib_chunk_set,22,0,|p7_gib_chunk_bone_03|xmodel|zone_source/loc/zm_whoswho.zone|csv
10,physpreset,gib,5,0,|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_whoswho.zone|csv
11,xmodel,p7_gib_chunk_meat_01,22,0,|zone_source/loc/zm_whoswho.zone|csv
12,techset,mc/lit_decal_diffuse_spec_gloss#e6142445,42,0,|mc/mtl_c_gen_gib_blood_splatters|material|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_whoswho.zone|csv
13,material,mc/mtl_c_gen_gib_gore_arm_right_a,35,0,|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_whoswho.zone|csv
14,techset,mc/lit_plus#e6142445,22,0,|mc/mtl_c_gen_arm_skin_dirty_notskin|material|c_nrc_gen_g_larmspawn|xmodel|zone_source/loc/zm_whoswho.zone|csv
15,material,mc/mtl_c_gen_gib_gore_arm_right,33,0,|zone_source/loc/zm_whoswho.zone|csv
16,xmodel,p7_gib_chunk_meat_02,22,0,|zone_source/loc/zm_whoswho.zone|csv
17,xmodel,p7_gib_chunk_meat_03,22,0,|zone_source/loc/zm_whoswho.zone|csv
18,xmodel,p7_gib_chunk_flesh_01,23,0,|zone_source/loc/zm_whoswho.zone|csv
19,xmodel,p7_gib_chunk_flesh_03,23,0,|zone_source/loc/zm_whoswho.zone|csv
20,xmodel,p7_gib_chunk_bone_03,22,0,|zone_source/loc/zm_whoswho.zone|csv
21,material,mc/mtl_c_gen_gib_gore_leg_calf,32,0,|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_whoswho.zone|csv
22,material,mc/mtl_c_gen_gib_gore_leg_calf_a,34,0,|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_whoswho.zone|csv
23,techset,mc/lit_transition#e6142445,28,0,|mc/mtl_c_nrc_cqb_boot|material|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_whoswho.zone|csv
24,image,i_c_gen_char_g,16,0,|mc/mtl_c_nrc_cqb_boot|material|c_nrc_gen_g_rlegspawn|xmodel|zone_source/loc/zm_whoswho.zone|csv
